restaurant_id,name,branch_name,address,district,city,avg_rating,total_reviews,has_delivery,delivery_url,detail_url,cuisines,categories,latitude,longitude,price_range,opening_hours,rating_breakdown
147556,GoGi House - Quán Nướng Hàn Quốc - Vincom Center Đà Nẵng,Hệ thống Gogi House - Quán Nướng Hàn Quốc - ĐN,"Tầng 4, Vincom Center, 910A Ngô Quyền, P. An Hải Bắc",Quận Sơn Trà,Đà Nẵng,7.9,608,True,https://shopeefood.vn/da-nang/gogi-house-quan-nuong-han-quoc-vincom-center-da-nang,https://www.foody.vn/da-nang/gogi-house-quan-nuong-han-quoc-vincom-center-da-nang,"Món Hàn, Món Á",Nhà hàng,16.071604,108.230672,59000-399000,10:00 - 21:30,"{""Chất lượng"": 8.18, ""Vị trí"": 8.07, ""Không gian"": 8.06, ""Phục vụ"": 7.92, ""Giá cả"": 7.11}"
655554,GoGi House - Quán Nướng Hàn Quốc - Nguyễn Văn Linh,GoGi House - Quán Nướng Hàn Quốc - Vincom Center Đà Nẵng,A7 Nguyễn Văn Linh,Quận Hải Châu,Đà Nẵng,8.1,123,False,,https://www.foody.vn/da-nang/gogi-house-quan-nuong-han-quoc-nguyen-van-linh,"Món Hàn, Món Á",Nhà hàng,16.060832,108.221028,59000-3000000,09:00 - 22:30,"{""Vị trí"": 8.68, ""Không gian"": 8.15, ""Chất lượng"": 8.1, ""Phục vụ"": 7.99, ""Giá cả"": 7.5}"
711351,GoGi House - Quán Nướng Hàn Quốc - LOTTE Mart,GoGi House - Quán Nướng Hàn Quốc - Vincom Center Đà Nẵng,"Tầng 1, LOTTE Mart, 6 Nại Nam, P. Hòa Cường Bắc",Quận Hải Châu,Đà Nẵng,6.9,29,False,,https://www.foody.vn/da-nang/gogi-house-quan-nuong-han-quoc-lotte-mart,"Món Hàn, Món Á",Nhà hàng,16.034834,108.229176,59000-3000000,10:00 - 22:00,"{""Không gian"": 7.41, ""Vị trí"": 7.34, ""Giá cả"": 6.79, ""Chất lượng"": 6.69, ""Phục vụ"": 6.34}"
1048474,Gogi House - Quán Nướng Hàn Quốc - Big C Đà Nẵng,GoGi House - Quán Nướng Hàn Quốc - Vincom Center Đà Nẵng,"Shop 07/GF Big C Đà Nẵng, 255 - 257 Hùng Vương, Khu Thương Mại Vĩnh Trung",Quận Thanh Khê,Đà Nẵng,9.6,2,False,,https://www.foody.vn/da-nang/gogi-house-quan-nuong-han-quoc-big-c-da-nang,"Món Hàn, Món Á",Nhà hàng,16.066669,108.213875,89000-500000,10:00 - 22:00,"{""Vị trí"": 10.0, ""Chất lượng"": 10.0, ""Phục vụ"": 10.0, ""Không gian"": 10.0, ""Giá cả"": 8.0}"
150,Bánh Tráng Thịt Heo Trần - Lê Duẩn,Hệ thống Quán Trần - Đặc Sản Đà Nẵng,4 Lê Duẩn,Quận Hải Châu,Đà Nẵng,6.6,353,True,https://shopeefood.vn/da-nang/banh-trang-thit-heo-tran-le-duan,https://www.foody.vn/da-nang/banh-trang-thit-heo-tran-le-duan,"Món Việt, Món Miền Trung",Nhà hàng,16.072313,108.22274,70000-165000,09:00 - 21:00,"{""Vị trí"": 7.29, ""Không gian"": 7.13, ""Chất lượng"": 6.63, ""Phục vụ"": 6.36, ""Giá cả"": 5.57}"
5717,Bánh Tráng Thịt Heo Trần - Hải Phòng,Bánh Tráng Thịt Heo Trần - Lê Duẩn,300 Hải Phòng,Quận Thanh Khê,Đà Nẵng,7.3,29,False,,https://www.foody.vn/da-nang/banh-trang-thit-heo-tran-hai-phong,"Món Việt, Món Miền Trung",Nhà hàng,16.06921,108.205146,70000-165000,09:00 - 21:00,"{""Không gian"": 7.72, ""Phục vụ"": 7.59, ""Chất lượng"": 7.38, ""Vị trí"": 7.31, ""Giá cả"": 6.52}"
107071,Đặc Sản Trần,Bánh Tráng Thịt Heo Trần - Lê Duẩn,4 Lê Duẩn,Quận Hải Châu,Đà Nẵng,6.2,50,False,,https://www.foody.vn/da-nang/dac-san-tran,Món Việt,Nhà hàng,16.071644,108.222613,6000-149000,05:00 - 23:00,"{""Vị trí"": 7.04, ""Không gian"": 7.02, ""Chất lượng"": 5.88, ""Phục vụ"": 5.68, ""Giá cả"": 5.42}"
678367,Bánh Tráng Thịt Heo Trần - Phạm Văn Đồng,Bánh Tráng Thịt Heo Trần - Lê Duẩn,Ngã Ba Phạm Văn Đồng - Hoàng Bích Sơn,Quận Sơn Trà,Đà Nẵng,3.9,13,False,,https://www.foody.vn/da-nang/banh-trang-thit-heo-tran-pham-van-dong,Món Miền Trung,Nhà hàng,16.070262,108.241292,70000-165000,09:00 - 22:00,"{""Vị trí"": 4.54, ""Không gian"": 4.31, ""Giá cả"": 4.0, ""Phục vụ"": 3.31, ""Chất lượng"": 3.23}"
1015026,Ẩm Thực Trần - Phạm Văn Đồng,Bánh Tráng Thịt Heo Trần - Lê Duẩn,Lô 1 & 2 Phạm Văn Đồng,Quận Sơn Trà,Đà Nẵng,3.8,1,False,,https://www.foody.vn/da-nang/am-thuc-tran-pham-van-dong,Món Miền Trung,Nhà hàng,16.0705209,108.2406033,50000-200000,07:00 - 22:00,"{""Vị trí"": 5.0, ""Giá cả"": 5.0, ""Không gian"": 5.0, ""Chất lượng"": 3.0, ""Phục vụ"": 1.0}"
36228,"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Trần Phú",Hệ thống Al Fresco’s Pizza Mỳ Ý Sườn Steak Bò Bít Tết - Đà Nẵng,"210 Trần Phú, P. Phước Ninh",Quận Hải Châu,Đà Nẵng,7.8,367,True,https://shopeefood.vn/da-nang/al-fresco-s-pizza-my-y-suon-steak-bo-bit-tet-tran-phu,https://www.foody.vn/da-nang/al-fresco-s-pizza-my-y-suon-steak-bo-bit-tet-tran-phu,"Ý, Món Âu",Nhà hàng,16.064167,108.22336,33000-295000,08:30 - 22:30,"{""Chất lượng"": 8.2, ""Vị trí"": 8.15, ""Không gian"": 8.06, ""Phục vụ"": 7.72, ""Giá cả"": 6.99}"
